"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,101531583,10,,,107896348
2017,101531583,11,1,,107896351
2017,101532462,10,,,107897471
2017,101533729,16,400,,107899046
2017,101534011,30,1000,,107899408
2017,101534085,37,20000,,107899516
2017,101534074,37,20000,27-NOV-17,107899500
2017,101534761,9,0,,107900435
2017,101535191,16,176,13-OCT-17,107901041
2017,101535195,16,176,,107901043
2017,101535805,63,1350,,107901863
2017,101536163,26,250,,107902355
2017,101536842,22,0,,107903244
2017,101525742,11,4,,107888713
2017,101525742,10,,,107888712
2017,101525765,64,1000,,107888747
2017,102281565,20,1500,,108870260
2017,101526002,3,3000,,107889087
2017,101526055,47,0,,107889155
2017,102281555,21,1500,,108870254
2017,101526147,38,4000,,107889262
2017,101526147,36,3000,,107889269
2017,101526246,11,5,,107889394
2017,101526246,10,,,107889392
2017,101526508,3,400,,107889745
2017,101535876,26,300,,107901967
2017,101535876,8,200,,107901972
2017,101535876,7,200,,107901971
2017,101536151,10,,,107902330
2017,101536141,3,2500,18-NOV-17,107902320
2017,101536152,3,2500,,107902341
2017,101536151,11,18,,107902331
2017,101536195,63,340,,107902405
2017,101536195,20,150,,107902406
2017,101536195,25,30,,107902409
2017,101536247,16,20,,107902485
2017,101536255,6,375,,107902496
2017,101536252,6,375,29-NOV-17,107902493
2017,102281644,26,99,,108870372
2017,101536833,13,300,,107903231
2017,101536932,20,240,,107903356
2017,101536978,10,,,107903404
2017,101536978,11,4,,107903406
2017,101537163,13,1,,107903637
2017,101537163,20,1,,107903627
2017,101537163,47,0,,107903642
2017,101537163,17,1,,107903621
2017,101537336,61,300,,107903859
2017,101537819,63,45,,107904482
2017,101538117,10,,,107904887
2017,101545514,7,650,,107915022
2017,101545747,3,1,,107915319
2017,101545514,3,14000,,107915021
2017,101545940,11,1,,107915602
2017,101545882,10,,,107915521
2017,101545882,11,2,,107915524
2017,101546285,10,,,107916060
2017,101546979,26,450,,107916947
2017,101547119,20,40,,107917130
2017,101547119,63,50,,107917126
2017,101547181,3,20,,107917202
2017,102282495,3,5000,,108871621
2017,102282487,3,5000,10-NOV-17,108871612
2017,101547728,63,309,,107917967
2017,102282648,63,1,,108871812
2017,101548515,16,125,,107918954
2017,101548510,16,125,31-OCT-17,107918945
2017,101548905,63,1,,107919507
2017,101549365,3,1,11-NOV-17,107920031
2017,101549370,3,1,,107920037
2017,102261469,63,153,,108843461
2017,102261469,9,0,,108843462
2017,102261469,51,0,,108843464
2017,102261469,25,300,,108843458
