"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,16,106174966,5,9,9601763
2017,5,106180091,1,1,9611833
2017,5,106186142,1,11,9606951
2017,5,106176379,1,11,9612096
2017,8,96778469,2,9,8022864
2017,12,96786751,15,1,8024657
2017,5,96786751,0,1,8024656
2017,17,96787394,0,1,8024883
2017,5,96787415,1,11,8024901
2017,12,96308378,0,1,7956384
2017,12,96308390,0,1,7956398
2017,5,96317652,1,1,7958247
2017,12,96306853,1,1,7955972
2017,12,96307998,1,1,7956203
2017,5,96785773,0,1,8024433
2017,2,96750705,1,1,8018862
2017,5,96786195,0,1,8024540
2017,5,96787182,1,1,8024794
2017,5,96787288,0,1,8024833
2017,5,96787325,10,1,8024856
2017,12,96759610,2,9,8020330
2017,5,96760788,44,4,8020507
2017,5,96761383,1,1,8020564
2017,5,96330742,1,1,7960686
2017,12,96764009,1,1,8020794
2017,12,96764156,1,11,8020807
2017,17,96764191,2,9,8020812
2017,5,96764208,1,11,8020817
2017,5,96768581,1,11,8021384
2017,5,96769151,1,1,8021432
2017,16,96769413,1,9,8021456
2017,17,96769714,2,9,8021504
2017,12,96769881,0,1,8021525
2017,5,100910718,2,1,8625965
2017,2,100910718,1,1,8625964
2017,12,100917335,0,1,8626777
2017,5,100922604,7,1,8627483
2017,17,100924337,1,11,8627762
2017,5,100924643,19,1,8627825
2017,5,98616871,1,11,8297203
2017,12,98617204,12,1,8297230
2017,16,98619283,1,3,8297442
2017,5,98619671,17,1,8297495
2017,5,98619806,1,1,8297531
2017,8,98620360,9,9,8297613
2017,17,98620695,0,1,8297658
2017,16,98621236,4,1,8297735
2017,13,98621250,1,1,8297737
2017,5,98621393,1,1,8297757
2017,17,98623065,1,1,8297949
2017,17,98623152,41,9,8297983
2017,17,98623175,2,9,8297996
2017,5,98623269,0,1,8298030
2017,12,98623556,1,9,8298052
2017,17,98623956,1,9,8298086
2017,17,96773775,2,9,8022022
2017,5,96775031,188,1,8022202
2017,17,96775031,5,1,8022203
2017,5,96775277,7,1,8022257
2017,5,96776454,1,3,8022476
2017,17,96776454,6,9,8022475
2017,5,96776472,0,3,8022478
2017,12,96776808,1,11,8022525
2017,5,100280292,1,1,8530284
2017,5,100282572,25,1,8530652
2017,5,100293938,2,1,8532657
2017,5,100289416,2,1,8531790
2017,5,100290595,1,11,8532033
2017,5,100291481,0,1,8532177
2017,17,100292303,1,11,8532306
2017,12,100293248,1,2,8532439
2017,5,100293773,282,1,8532589
2017,5,100293817,1,1,8532608
2017,5,100293892,19,1,8532628
2017,5,100293936,5,1,8532656
2017,5,100293963,2,1,8532670
2017,8,100294078,2,1,8532708
2017,5,100294078,2,1,8532709
2017,5,100294350,4,1,8532772
2017,17,100294632,6,1,8532801
2017,5,100294804,4,1,8532828
2017,12,100295444,0,1,8532897
2017,5,100296420,2,1,8533034
2017,5,100296663,1,1,8533079
2017,5,100296750,3,1,8533097
2017,5,100297046,2,1,8533150
2017,5,102277420,39,1,8849154
2017,12,102275819,1,11,8848927
2017,12,102276439,1,11,8849008
2017,12,102278572,2,1,8849343
2017,12,102282471,1,1,8849945
2017,12,102284479,22,9,8850184
2017,12,102284494,1,1,8850192
2017,5,102285012,1,11,8850284
