"STATE_ID","DIVISION_ID","STATE_NAME","STATE_CODE","STATE_ABBR","STATE_POSTAL_ABBR","STATE_FIPS_CODE","STATE_PUB_FREQ_MONTHS","CHANGE_USER"
98,99,"Federal","98","FS","FS","",12,""
1,10,"Alaska","50","AK","AK","02",12,""
2,7,"Alabama","01","AL","AL","01",12,""
3,8,"Arkansas","03","AR","AR","05",12,""
4,1,"American Samoa","54","AS","AS","60",12,""
5,9,"Arizona","02","AZ","AZ","04",12,""
6,10,"California","04","CA","CA","06",12,""
7,9,"Colorado","05","CO","CO","08",12,""
8,2,"Connecticut","06","CT","CT","09",12,""
9,1,"Canal Zone","52","CZ","CZ","",12,""
10,6,"District of Columbia","08","DC","DC","11",12,""
11,6,"Delaware","07","DE","DE","10",12,""
12,6,"Florida","09","FL","FL","12",12,""
13,6,"Georgia","10","GA","GA","13",12,""
14,1,"Guam","55","GM","GU","66",12,""
15,10,"Hawaii","51","HI","HI","15",12,""
16,5,"Iowa","14","IA","IA","19",12,""
17,9,"Idaho","11","ID","ID","16",12,""
18,4,"Illinois","12","IL","IL","17",12,""
19,4,"Indiana","13","IN","IN","18",12,""
20,5,"Kansas","15","KS","KS","20",12,""
21,7,"Kentucky","16","KY","KY","21",12,""
22,8,"Louisiana","17","LA","LA","22",12,""
23,2,"Massachusetts","20","MA","MA","25",12,""
24,6,"Maryland","19","MD","MD","24",12,""
25,2,"Maine","18","ME","ME","23",12,""
26,4,"Michigan","21","MI","MI","26",12,""
27,5,"Minnesota","22","MN","MN","27",12,""
28,5,"Missouri","24","MO","MO","29",12,""
29,7,"Mississippi","23","MS","MS","28",12,""
30,9,"Montana","25","MT","MT","30",12,""
31,5,"Nebraska","26","NB","NE","31",12,""
32,6,"North Carolina","32","NC","NC","37",12,""
33,5,"North Dakota","33","ND","ND","38",12,""
34,2,"New Hampshire","28","NH","NH","33",12,""
35,3,"New Jersey","29","NJ","NJ","34",12,""
36,9,"New Mexico","30","NM","NM","35",12,""
37,9,"Nevada","27","NV","NV","32",12,""
38,3,"New York","31","NY","NY","36",12,""
39,4,"Ohio","34","OH","OH","39",12,""
40,8,"Oklahoma","35","OK","OK","40",12,""
41,10,"Oregon","36","OR","OR","41",12,""
42,3,"Pennsylvania","37","PA","PA","42",12,""
43,1,"Puerto Rico","53","PR","PR","72",12,""
44,2,"Rhode Island","38","RI","RI","44",12,""
45,6,"South Carolina","39","SC","SC","45",12,""
46,5,"South Dakota","40","SD","SD","46",12,""
47,7,"Tennessee","41","TN","TN","47",12,""
48,8,"Texas","42","TX","TX","48",12,""
49,9,"Utah","43","UT","UT","49",12,""
50,1,"U.S. Virgin Islands","62","VI","VI","78",12,""
51,6,"Virginia","45","VA","VA","51",12,""
52,2,"Vermont","44","VT","VT","50",12,""
53,10,"Washington","46","WA","WA","53",12,""
54,4,"Wisconsin","48","WI","WI","55",12,""
55,6,"West Virginia","47","WV","WV","54",12,""
56,9,"Wyoming","49","WY","WY","56",12,""
57,1,"Mariana Islands","69","MP","MP","69",12,""
99,99,"Other","99","OT","OT","99",12,""
