"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
149332017,14933,2017,"OK0010000","OK0010000","","N","N",,"I","ADAIR","ADAIR","Adair","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",15941,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",7,0,7,1,0,1,0,0,01-JAN-08,01-JUL-11,01-SEP-11,,,,"N","ADAIR","Non-MSA","Y","Y","Y"
149342017,14934,2017,"OK0010100","OK0010100","","N","N",,"I","STILWELL","STILWELL","Stilwell","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",4062,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",13,2,15,0,5,5,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ADAIR","Non-MSA","Y","Y","Y"
149352017,14935,2017,"OK0010200","OK0010200","","N","N",,"I","WESTVILLE","WESTVILLE","Westville","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",1561,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,2,7,0,2,2,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ADAIR","Non-MSA","Y","Y","Y"
149362017,14936,2017,"OK0011000","OK0011000","","N","N",,"I","WATTS","WATTS","Watts","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",310,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,1,1,0,0,01-JAN-08,01-FEB-16,01-JUL-16,,,,"N","ADAIR","Non-MSA","Y","Y","Y"
149372017,14937,2017,"OK0020000","OK0020000","","N","N",,"I","ALFALFA","ALFALFA","Alfalfa","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",4276,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",7,2,9,0,3,3,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ALFALFA","Non-MSA","Y","Y","Y"
149382017,14938,2017,"OK0020100","OK0020100","","N","N",,"I","CHEROKEE","CHEROKEE","Cherokee","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",1553,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ALFALFA","Non-MSA","Y","Y","Y"
149412017,14941,2017,"OK0030000","OK0030000","","N","N",,"I","ATOKA","ATOKA","Atoka","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",9722,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",8,8,16,1,7,8,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ATOKA","Non-MSA","Y","Y","Y"
149422017,14942,2017,"OK0030100","OK0030100","","N","N",,"I","ATOKA","ATOKA","Atoka","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",3056,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",15,0,15,0,1,1,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ATOKA","Non-MSA","Y","Y","Y"
149432017,14943,2017,"OK0030200","OK0030200","","N","N",,"I","CANEY","CANEY","Caney","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",197,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,2,2,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ATOKA","Non-MSA","Y","Y","Y"
149442017,14944,2017,"OK0030800","OK0030800","","N","N",,"I","STRINGTOWN","STRINGTOWN","Stringtown","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",401,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,0,0,0,0,01-JAN-08,01-MAR-09,01-OCT-09,,,,"N","ATOKA","Non-MSA","Y","Y","Y"
