"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2017,7609475,15254,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0612300_NIBRS",7810597,0
2017,7639523,15254,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0612300_NIBRS",9819340,0
2017,7641215,15254,3,2017,"I",,"Y","G","C","2017_03_OK0612300_NIBRS",9819373,0
2017,7690765,15254,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OK0612300_NIBRS",10690289,0
2017,7755167,15254,5,2017,"Z",01-MAY-05,"Y","F","C","2017_05_OK0612300_NIBRS",12101297,0
2017,7744209,15254,6,2017,"Z",01-JUN-06,"Y","F","C","2017_06_OK0612300_NIBRS",11510291,0
2017,7778706,15254,7,2017,"Z",01-JUL-07,"Y","F","C","2017_07_OK0612300_NIBRS",13132020,0
2017,7795818,15254,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0612300_NIBRS",14680170,0
2017,7813963,15254,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OK0612300_NIBRS",15628026,0
2017,7836691,15254,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0612300_NIBRS",18076157,0
2017,7839747,15254,11,2017,"I",,"Y","G","C","2017_11_OK0612300_NIBRS",18698044,0
2017,7950115,15254,12,2017,"Z",01-DEC-12,"Y","F","C","2017_12_OK0612300_NIBRS",18698048,0
2017,7610337,15266,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0632200_NIBRS",18077576,0
2017,7639544,15266,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0632200_NIBRS",21544837,0
2017,7662758,15266,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OK0632200_NIBRS",22283508,0
2017,7690777,15266,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OK0632200_NIBRS",14681262,0
2017,7716569,15266,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OK0632200_NIBRS",14048307,0
2017,7744091,15266,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OK0632200_NIBRS",18077719,0
2017,7778582,15266,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OK0632200_NIBRS",20178609,0
2017,7795847,15266,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0632200_NIBRS",18077870,0
2017,7796903,15266,9,2017,"I",,"Y","G","C","2017_09_OK0632200_NIBRS",18077949,0
2017,7836702,15266,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0632200_NIBRS",20178652,0
2017,7839731,15266,11,2017,"I",,"Y","G","C","2017_11_OK0632200_NIBRS",20178690,0
2017,7927047,15266,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OK0632200_NIBRS",22283545,0
2017,7610441,15321,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0721400_NIBRS",16846700,0
2017,7639644,15321,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0721400_NIBRS",11496354,0
2017,7662831,15321,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OK0721400_NIBRS",14061067,0
2017,7690808,15321,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OK0721400_NIBRS",10700453,0
2017,7716651,15321,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OK0721400_NIBRS",11496423,0
2017,7744132,15321,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OK0721400_NIBRS",20186878,0
2017,7778656,15321,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OK0721400_NIBRS",20186925,0
2017,7883267,15321,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0721400_NIBRS",16846765,0
2017,7814541,15321,9,2017,"Z",01-SEP-09,"Y","F","C","2017_09_OK0721400_NIBRS",14698376,0
2017,7837884,15321,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0721400_NIBRS",16846813,0
2017,7883268,15321,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OK0721400_NIBRS",19463146,0
